Year,Month,Monthly-min,Monthly-max,Annual-min,Annual-max,Five-year-min,Five-year-max,Ten-year-min,Ten-year-max,Twenty-year-min,Twenty-year-max
,,,,,,,,,,,
1850,1,-0.763,0.442,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1850,2,-0.219,0.497,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1850,3,-0.406,0.434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1850,4,-0.667,0.311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1850,5,-0.677,0.234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1850,6,-0.372,0.267,-0.491,0.172,NaN,NaN,NaN,NaN,NaN,NaN
1850,7,-0.209,0.210,-0.447,0.173,NaN,NaN,NaN,NaN,NaN,NaN
1850,8,-0.208,0.248,-0.468,0.162,NaN,NaN,NaN,NaN,NaN,NaN
1850,9,-0.469,0.214,-0.486,0.151,NaN,NaN,NaN,NaN,NaN,NaN
1850,10,-0.636,0.279,-0.486,0.155,NaN,NaN,NaN,NaN,NaN,NaN
1850,11,-0.641,0.330,-0.461,0.163,NaN,NaN,NaN,NaN,NaN,NaN
1850,12,-0.428,0.293,-0.452,0.167,NaN,NaN,NaN,NaN,NaN,NaN
1851,1,-0.230,0.433,-0.455,0.166,NaN,NaN,NaN,NaN,NaN,NaN
1851,2,-0.470,0.374,-0.464,0.165,NaN,NaN,NaN,NaN,NaN,NaN
1851,3,-0.629,0.293,-0.457,0.170,NaN,NaN,NaN,NaN,NaN,NaN
1851,4,-0.663,0.291,-0.415,0.174,NaN,NaN,NaN,NaN,NaN,NaN
1851,5,-0.378,0.349,-0.394,0.181,NaN,NaN,NaN,NaN,NaN,NaN
1851,6,-0.271,0.349,-0.376,0.192,NaN,NaN,NaN,NaN,NaN,NaN
1851,7,-0.235,0.224,-0.381,0.196,NaN,NaN,NaN,NaN,NaN,NaN
1851,8,-0.318,0.267,-0.390,0.202,NaN,NaN,NaN,NaN,NaN,NaN
1851,9,-0.381,0.275,-0.401,0.207,NaN,NaN,NaN,NaN,NaN,NaN
1851,10,-0.134,0.331,-0.394,0.204,NaN,NaN,NaN,NaN,NaN,NaN
1851,11,-0.395,0.322,-0.380,0.200,NaN,NaN,NaN,NaN,NaN,NaN
1851,12,-0.204,0.325,-0.373,0.196,NaN,NaN,NaN,NaN,NaN,NaN
1852,1,-0.302,0.455,-0.363,0.197,NaN,NaN,NaN,NaN,NaN,NaN
1852,2,-0.569,0.382,-0.370,0.194,NaN,NaN,NaN,NaN,NaN,NaN
1852,3,-0.768,0.376,-0.368,0.192,NaN,NaN,NaN,NaN,NaN,NaN
1852,4,-0.580,0.319,-0.374,0.184,NaN,NaN,NaN,NaN,NaN,NaN
1852,5,-0.204,0.316,-0.388,0.179,NaN,NaN,NaN,NaN,NaN,NaN
1852,6,-0.187,0.258,-0.370,0.177,-0.396,0.146,NaN,NaN,NaN,NaN
1852,7,-0.114,0.210,-0.372,0.174,-0.383,0.148,NaN,NaN,NaN,NaN
1852,8,-0.409,0.247,-0.364,0.170,-0.382,0.143,NaN,NaN,NaN,NaN
1852,9,-0.358,0.210,-0.345,0.166,-0.381,0.139,NaN,NaN,NaN,NaN
1852,10,-0.195,0.241,-0.330,0.163,-0.372,0.138,NaN,NaN,NaN,NaN
1852,11,-0.572,0.320,-0.340,0.162,-0.364,0.136,NaN,NaN,NaN,NaN
1852,12,0.018,0.372,-0.343,0.170,-0.363,0.133,NaN,NaN,NaN,NaN
1853,1,-0.326,0.407,-0.336,0.165,-0.366,0.131,NaN,NaN,NaN,NaN
1853,2,-0.478,0.433,-0.314,0.168,-0.368,0.130,NaN,NaN,NaN,NaN
1853,3,-0.533,0.294,-0.323,0.167,-0.369,0.128,NaN,NaN,NaN,NaN
1853,4,-0.406,0.312,-0.349,0.167,-0.364,0.126,NaN,NaN,NaN,NaN
1853,5,-0.319,0.279,-0.361,0.159,-0.359,0.126,NaN,NaN,NaN,NaN
1853,6,-0.225,0.305,-0.395,0.159,-0.362,0.127,NaN,NaN,NaN,NaN
1853,7,-0.033,0.218,-0.419,0.153,-0.359,0.126,NaN,NaN,NaN,NaN
1853,8,-0.143,0.226,-0.433,0.153,-0.360,0.125,NaN,NaN,NaN,NaN
1853,9,-0.467,0.222,-0.415,0.156,-0.357,0.124,NaN,NaN,NaN,NaN
1853,10,-0.510,0.257,-0.417,0.156,-0.352,0.123,NaN,NaN,NaN,NaN
1853,11,-0.706,0.331,-0.415,0.154,-0.351,0.120,NaN,NaN,NaN,NaN
1853,12,-0.397,0.292,-0.438,0.147,-0.349,0.119,NaN,NaN,NaN,NaN
1854,1,-0.611,0.384,-0.452,0.151,-0.350,0.119,NaN,NaN,NaN,NaN
1854,2,-0.645,0.338,-0.461,0.149,-0.354,0.119,NaN,NaN,NaN,NaN
1854,3,-0.315,0.343,-0.447,0.149,-0.360,0.118,NaN,NaN,NaN,NaN
1854,4,-0.434,0.303,-0.398,0.155,-0.369,0.116,NaN,NaN,NaN,NaN
1854,5,-0.302,0.247,-0.363,0.166,-0.372,0.115,NaN,NaN,NaN,NaN
1854,6,-0.500,0.213,-0.346,0.178,-0.376,0.114,NaN,NaN,NaN,NaN
1854,7,-0.202,0.225,-0.298,0.191,-0.380,0.113,NaN,NaN,NaN,NaN
1854,8,-0.245,0.232,-0.257,0.190,-0.379,0.111,NaN,NaN,NaN,NaN
1854,9,-0.296,0.223,-0.257,0.182,-0.375,0.111,NaN,NaN,NaN,NaN
1854,10,0.072,0.351,-0.230,0.172,-0.380,0.110,NaN,NaN,NaN,NaN
1854,11,-0.288,0.359,-0.226,0.164,-0.391,0.109,NaN,NaN,NaN,NaN
1854,12,-0.193,0.523,-0.210,0.159,-0.398,0.109,-0.411,0.114,NaN,NaN
1855,1,-0.032,0.486,-0.226,0.157,-0.405,0.109,-0.409,0.114,NaN,NaN
1855,2,-0.153,0.447,-0.230,0.159,-0.406,0.110,-0.410,0.113,NaN,NaN
1855,3,-0.314,0.295,-0.248,0.156,-0.408,0.111,-0.413,0.112,NaN,NaN
1855,4,-0.114,0.328,-0.284,0.149,-0.414,0.111,-0.411,0.112,NaN,NaN
1855,5,-0.251,0.289,-0.290,0.147,-0.413,0.111,-0.408,0.112,NaN,NaN
1855,6,-0.309,0.267,-0.323,0.147,-0.418,0.109,-0.407,0.111,NaN,NaN
1855,7,-0.395,0.208,-0.327,0.146,-0.418,0.109,-0.408,0.110,NaN,NaN
1855,8,-0.293,0.239,-0.356,0.139,-0.420,0.110,-0.407,0.110,NaN,NaN
1855,9,-0.506,0.237,-0.369,0.140,-0.417,0.111,-0.406,0.110,NaN,NaN
1855,10,-0.360,0.266,-0.387,0.140,-0.416,0.112,-0.403,0.111,NaN,NaN
1855,11,-0.363,0.260,-0.394,0.138,-0.419,0.112,-0.402,0.111,NaN,NaN
1855,12,-0.590,0.354,-0.382,0.129,-0.422,0.110,-0.407,0.112,NaN,NaN
1856,1,-0.079,0.347,-0.374,0.134,-0.428,0.111,-0.414,0.112,NaN,NaN
1856,2,-0.494,0.399,-0.396,0.135,-0.433,0.111,-0.417,0.112,NaN,NaN
1856,3,-0.480,0.319,-0.415,0.134,-0.434,0.113,-0.417,0.112,NaN,NaN
1856,4,-0.329,0.257,-0.440,0.136,-0.430,0.112,-0.416,0.112,NaN,NaN
1856,5,-0.327,0.245,-0.458,0.135,-0.423,0.112,-0.417,0.112,NaN,NaN
1856,6,-0.164,0.303,-0.444,0.133,-0.425,0.112,-0.419,0.111,NaN,NaN
1856,7,-0.299,0.295,-0.482,0.129,-0.422,0.112,-0.419,0.111,NaN,NaN
1856,8,-0.561,0.296,-0.487,0.131,-0.419,0.112,-0.418,0.111,NaN,NaN
1856,9,-0.738,0.221,-0.491,0.133,-0.420,0.111,-0.419,0.111,NaN,NaN
1856,10,-0.657,0.241,-0.536,0.134,-0.414,0.109,-0.422,0.111,NaN,NaN
1856,11,-0.584,0.261,-0.579,0.137,-0.411,0.109,-0.421,0.110,NaN,NaN
1856,12,-0.417,0.315,-0.617,0.135,-0.407,0.109,-0.423,0.110,NaN,NaN
1857,1,-0.535,0.363,-0.634,0.133,-0.410,0.109,-0.429,0.111,NaN,NaN
1857,2,-0.556,0.307,-0.629,0.136,-0.414,0.109,-0.430,0.110,NaN,NaN
1857,3,-0.522,0.305,-0.609,0.140,-0.420,0.109,-0.428,0.110,NaN,NaN
1857,4,-0.872,0.271,-0.597,0.141,-0.427,0.108,-0.428,0.110,NaN,NaN
1857,5,-0.838,0.232,-0.591,0.140,-0.427,0.107,-0.429,0.110,NaN,NaN
1857,6,-0.624,0.220,-0.583,0.135,-0.427,0.104,-0.431,0.109,NaN,NaN
1857,7,-0.510,0.227,-0.563,0.140,-0.434,0.103,-0.433,0.109,NaN,NaN
1857,8,-0.498,0.246,-0.567,0.147,-0.438,0.103,-0.435,0.110,NaN,NaN
1857,9,-0.492,0.239,-0.552,0.148,-0.446,0.104,-0.437,0.111,NaN,NaN
1857,10,-0.519,0.231,-0.508,0.147,-0.451,0.104,-0.440,0.111,NaN,NaN
1857,11,-0.510,0.275,-0.480,0.149,-0.452,0.105,-0.441,0.111,NaN,NaN
1857,12,-0.325,0.277,-0.461,0.147,-0.452,0.105,-0.449,0.111,NaN,NaN
1858,1,-0.291,0.349,-0.455,0.145,-0.449,0.106,-0.448,0.111,NaN,NaN
1858,2,-0.602,0.282,-0.449,0.142,-0.447,0.106,-0.447,0.111,NaN,NaN
1858,3,-0.347,0.290,-0.450,0.143,-0.443,0.107,-0.446,0.112,NaN,NaN
1858,4,-0.338,0.242,-0.433,0.145,-0.442,0.109,-0.446,0.112,NaN,NaN
1858,5,-0.500,0.257,-0.410,0.141,-0.445,0.109,-0.445,0.112,NaN,NaN
1858,6,-0.406,0.193,-0.428,0.145,-0.451,0.109,-0.446,0.111,NaN,NaN
1858,7,-0.432,0.212,-0.440,0.141,-0.468,0.110,-0.449,0.112,NaN,NaN
1858,8,-0.424,0.245,-0.430,0.142,-0.474,0.111,-0.452,0.113,NaN,NaN
1858,9,-0.506,0.244,-0.429,0.137,-0.478,0.112,-0.454,0.114,NaN,NaN
1858,10,-0.319,0.249,-0.410,0.135,-0.480,0.114,-0.454,0.113,NaN,NaN
1858,11,-0.235,0.229,-0.377,0.135,-0.484,0.116,-0.451,0.114,NaN,NaN
1858,12,-0.540,0.255,-0.365,0.137,-0.488,0.114,-0.452,0.115,NaN,NaN
1859,1,-0.432,0.309,-0.362,0.138,-0.488,0.114,-0.452,0.116,NaN,NaN
1859,2,-0.481,0.314,-0.366,0.132,-0.483,0.115,-0.451,0.117,NaN,NaN
1859,3,-0.340,0.231,-0.377,0.128,-0.478,0.116,-0.453,0.119,NaN,NaN
1859,4,-0.101,0.251,-0.381,0.132,-0.476,0.117,-0.453,0.119,NaN,NaN
1859,5,-0.111,0.225,-0.384,0.138,-0.471,0.117,-0.453,0.120,NaN,NaN
1859,6,-0.259,0.204,-0.358,0.137,-0.471,0.117,-0.450,0.120,NaN,NaN
1859,7,-0.393,0.194,-0.357,0.141,-0.478,0.120,-0.451,0.120,NaN,NaN
1859,8,-0.474,0.207,-0.351,0.139,-0.481,0.122,-0.452,0.121,NaN,NaN
1859,9,-0.645,0.217,-0.389,0.152,-0.480,0.122,-0.454,0.121,NaN,NaN
1859,10,-0.357,0.262,-0.415,0.154,-0.476,0.124,-0.458,0.120,NaN,NaN
1859,11,-0.274,0.266,-0.432,0.150,-0.468,0.123,-0.459,0.119,NaN,NaN
1859,12,-0.228,0.385,-0.433,0.150,-0.464,0.123,-0.462,0.117,-0.397,0.122
1860,1,-0.424,0.374,-0.421,0.146,-0.462,0.123,-0.461,0.117,-0.395,0.122
1860,2,-0.407,0.332,-0.394,0.149,-0.463,0.123,-0.463,0.117,-0.396,0.122
1860,3,-0.801,0.331,-0.363,0.150,-0.466,0.123,-0.465,0.119,-0.396,0.121
1860,4,-0.407,0.220,-0.359,0.152,-0.466,0.124,-0.468,0.119,-0.395,0.121
1860,5,-0.311,0.225,-0.383,0.148,-0.469,0.126,-0.469,0.120,-0.393,0.121
1860,6,-0.277,0.180,-0.442,0.150,-0.480,0.128,-0.469,0.120,-0.392,0.120
1860,7,-0.241,0.262,-0.500,0.153,-0.479,0.128,-0.468,0.121,-0.391,0.120
1860,8,-0.162,0.229,-0.533,0.153,-0.475,0.126,-0.467,0.122,-0.392,0.120
1860,9,-0.267,0.228,-0.526,0.148,-0.476,0.127,-0.465,0.124,-0.391,0.119
1860,10,-0.307,0.246,-0.534,0.153,-0.475,0.127,-0.464,0.125,-0.390,0.119
1860,11,-0.562,0.281,-0.552,0.162,-0.471,0.128,-0.463,0.125,-0.389,0.119
1860,12,-0.941,0.340,-0.563,0.163,-0.470,0.129,-0.462,0.126,-0.389,0.120
1861,1,-1.118,0.443,-0.571,0.167,-0.471,0.130,-0.461,0.126,-0.391,0.120
1861,2,-0.799,0.320,-0.575,0.170,-0.472,0.131,-0.460,0.127,-0.391,0.119
1861,3,-0.722,0.283,-0.589,0.172,-0.473,0.132,-0.460,0.128,-0.390,0.120
1861,4,-0.497,0.342,-0.608,0.170,-0.477,0.133,-0.462,0.129,-0.387,0.119
1861,5,-0.527,0.274,-0.585,0.169,-0.480,0.135,-0.462,0.130,-0.387,0.119
1861,6,-0.414,0.197,-0.543,0.167,-0.479,0.137,-0.463,0.129,-0.387,0.118
1861,7,-0.332,0.259,-0.528,0.175,-0.483,0.137,-0.459,0.129,-0.387,0.118
1861,8,-0.210,0.238,-0.523,0.168,-0.483,0.140,-0.457,0.129,-0.386,0.118
1861,9,-0.444,0.238,-0.505,0.169,-0.486,0.144,-0.454,0.130,-0.387,0.117
1861,10,-0.534,0.252,-0.515,0.168,-0.492,0.146,-0.451,0.132,-0.387,0.117
1861,11,-0.287,0.243,-0.499,0.163,-0.494,0.148,-0.447,0.132,-0.388,0.117
1861,12,-0.427,0.319,-0.496,0.165,-0.493,0.148,-0.444,0.132,-0.389,0.117
1862,1,-0.941,0.444,-0.504,0.164,-0.491,0.148,-0.441,0.133,-0.390,0.117
1862,2,-0.743,0.297,-0.533,0.165,-0.490,0.150,-0.439,0.134,-0.389,0.116
1862,3,-0.510,0.313,-0.550,0.165,-0.488,0.150,-0.438,0.134,-0.388,0.116
1862,4,-0.615,0.306,-0.550,0.166,-0.489,0.149,-0.433,0.134,-0.387,0.116
1862,5,-0.330,0.255,-0.583,0.171,-0.491,0.149,-0.430,0.134,-0.387,0.116
1862,6,-0.386,0.242,-0.632,0.177,-0.496,0.149,-0.427,0.135,-0.387,0.115
1862,7,-0.426,0.234,-0.569,0.170,-0.489,0.148,-0.425,0.135,-0.387,0.115
1862,8,-0.560,0.264,-0.536,0.176,-0.488,0.149,-0.423,0.136,-0.386,0.115
1862,9,-0.640,0.247,-0.530,0.181,-0.483,0.150,-0.421,0.136,-0.385,0.115
1862,10,-0.538,0.270,-0.504,0.182,-0.485,0.151,-0.416,0.137,-0.385,0.115
1862,11,-0.677,0.329,-0.496,0.182,-0.485,0.152,-0.410,0.137,-0.385,0.115
1862,12,-1.015,0.348,-0.494,0.185,-0.486,0.153,-0.409,0.138,-0.387,0.115
1863,1,-0.189,0.384,-0.496,0.189,-0.486,0.153,-0.411,0.138,-0.387,0.115
1863,2,-0.354,0.526,-0.491,0.191,-0.488,0.155,-0.412,0.139,-0.386,0.115
1863,3,-0.435,0.312,-0.488,0.195,-0.488,0.156,-0.412,0.139,-0.385,0.115
1863,4,-0.297,0.278,-0.488,0.193,-0.486,0.156,-0.411,0.140,-0.385,0.115
1863,5,-0.233,0.253,-0.466,0.196,-0.480,0.158,-0.408,0.139,-0.385,0.114
1863,6,-0.371,0.259,-0.420,0.202,-0.472,0.159,-0.406,0.140,-0.385,0.114
1863,7,-0.444,0.262,-0.460,0.199,-0.453,0.158,-0.402,0.140,-0.386,0.114
1863,8,-0.501,0.299,-0.473,0.213,-0.447,0.159,-0.399,0.140,-0.386,0.113
1863,9,-0.602,0.330,-0.477,0.219,-0.443,0.160,-0.397,0.140,-0.385,0.113
1863,10,-0.544,0.251,-0.494,0.232,-0.443,0.160,-0.395,0.140,-0.384,0.113
1863,11,-0.405,0.278,-0.495,0.237,-0.440,0.159,-0.396,0.141,-0.383,0.113
1863,12,-0.467,0.355,-0.480,0.235,-0.438,0.159,-0.393,0.142,-0.382,0.113
1864,1,-0.671,0.379,-0.465,0.232,-0.431,0.159,-0.391,0.143,-0.381,0.113
1864,2,-0.515,0.519,-0.457,0.228,-0.431,0.158,-0.386,0.141,-0.380,0.113
1864,3,-0.472,0.446,-0.451,0.215,-0.430,0.159,-0.388,0.143,-0.381,0.112
1864,4,-0.507,0.357,-0.437,0.210,-0.426,0.160,-0.390,0.142,-0.381,0.112
1864,5,-0.242,0.288,-0.439,0.204,-0.424,0.160,-0.390,0.143,-0.381,0.112
1864,6,-0.190,0.228,-0.442,0.193,-0.416,0.161,-0.390,0.144,-0.380,0.112
1864,7,-0.269,0.245,-0.386,0.197,-0.404,0.159,-0.389,0.144,-0.381,0.112
1864,8,-0.407,0.262,-0.376,0.179,-0.398,0.161,-0.387,0.145,-0.380,0.112
1864,9,-0.530,0.237,-0.379,0.169,-0.396,0.160,-0.382,0.145,-0.380,0.112
1864,10,-0.378,0.215,-0.377,0.160,-0.390,0.158,-0.381,0.145,-0.382,0.111
1864,11,-0.426,0.277,-0.386,0.154,-0.392,0.159,-0.380,0.145,-0.383,0.111
1864,12,-0.504,0.289,-0.398,0.153,-0.390,0.160,-0.382,0.146,-0.383,0.110
1865,1,0.009,0.327,-0.395,0.157,-0.387,0.160,-0.381,0.146,-0.385,0.110
1865,2,-0.391,0.309,-0.383,0.160,-0.383,0.161,-0.382,0.146,-0.386,0.110
1865,3,-0.508,0.341,-0.362,0.168,-0.375,0.161,-0.378,0.145,-0.387,0.110
1865,4,-0.485,0.293,-0.348,0.176,-0.367,0.163,-0.378,0.145,-0.388,0.109
1865,5,-0.348,0.230,-0.329,0.182,-0.352,0.162,-0.377,0.145,-0.388,0.109
1865,6,-0.333,0.231,-0.326,0.187,-0.338,0.161,-0.376,0.145,-0.388,0.110
1865,7,-0.244,0.249,-0.325,0.190,-0.344,0.161,-0.375,0.144,-0.388,0.110
1865,8,-0.253,0.270,-0.324,0.195,-0.349,0.164,-0.376,0.144,-0.388,0.110
1865,9,-0.277,0.278,-0.323,0.202,-0.348,0.165,-0.376,0.144,-0.387,0.110
1865,10,-0.220,0.273,-0.326,0.209,-0.346,0.165,-0.376,0.143,-0.387,0.110
1865,11,-0.192,0.308,-0.327,0.213,-0.345,0.163,-0.375,0.143,-0.388,0.110
